player_id,web_name,start_rate,minutes,expected_goals_per_90,expected_assists_per_90,expected_goals_conceded_per_90
411,Haaland,0.895,2953,0.78,0.08,1.18
426,B.Fernandes,0.921,3065,0.32,0.36,1.3
4,Gabriel,0.789,2750,0.1,0.06,0.72
397,Semenyo,0.974,3200,0.31,0.09,1.34
480,Gibbs-White,0.921,3101,0.31,0.08,1.44
13,Rice,0.921,3093,0.09,0.21,0.69
106,Thiago,0.974,3282,0.56,0.05,1.46
481,Anderson,0.974,3332,0.08,0.13,1.45
388,Guéhi,0.921,3150,0.12,0.07,1.27
165,João Pedro,0.816,2658,0.5,0.07,1.26
356,Virgil,1.0,3420,0.1,0.04,1.25
498,Senesi,0.974,3288,0.04,0.13,1.5
229,Tarkowski,0.974,3330,0.07,0.06,1.45
40,Rogers,0.974,3280,0.19,0.12,1.41
260,Wilson,0.842,2674,0.2,0.16,1.35
55,Watkins,0.868,2833,0.49,0.04,1.38
61,Truffert,1.0,3378,0.04,0.08,1.45
1,Raya,0.974,3330,0.0,0.0,0.74
368,Szoboszlai,0.947,3232,0.13,0.19,1.27
387,O'Reilly,0.763,2643,0.21,0.09,1.19
239,Garner,1.0,3413,0.06,0.16,1.48
155,Enzo,0.921,3114,0.33,0.21,1.3
12,Saka,0.658,2218,0.31,0.29,0.63
452,Bruno G.,0.711,2456,0.2,0.18,1.17
200,Lacroix,0.921,3085,0.07,0.02,1.28
389,Matheus N.,0.842,2861,0.01,0.07,1.1
533,Mukiele,0.842,2784,0.05,0.09,1.45
236,Dewsbury-Hall,0.789,2629,0.15,0.18,1.38
5,J.Timber,0.737,2452,0.17,0.06,0.64
112,Van Hecke,0.947,3210,0.09,0.04,1.3
427,Mbeumo,0.816,2611,0.41,0.17,1.24
542,E.Le Fée,0.868,2930,0.16,0.18,1.43
371,Gravenberch,0.895,2991,0.06,0.07,1.16
428,Cunha,0.763,2493,0.25,0.12,1.29
82,Kelleher,0.974,3330,0.0,0.01,1.45
346,Calvert-Lewin,0.789,2721,0.51,0.04,1.18
6,Saliba,0.789,2614,0.03,0.04,0.7
68,Tavernier,0.816,2732,0.3,0.15,1.35
335,Stach,0.737,2369,0.11,0.17,1.29
143,Chalobah,0.816,2780,0.05,0.03,1.32
69,Scott,0.895,2848,0.12,0.09,1.49
95,O.Dango,0.658,2271,0.31,0.16,1.38
529,Roefs,0.921,3150,0.0,0.0,1.43
201,Muñoz,0.763,2400,0.09,0.15,1.29
384,Donnarumma,0.895,3060,0.0,0.0,1.13
525,Fernandes,0.921,3017,0.06,0.09,1.44
399,Cherki,0.5,1772,0.22,0.45,1.28
204,Mitchell,0.947,3253,0.04,0.07,1.38
226,Pickford,1.0,3420,0.0,0.01,1.48
338,Ampadu,0.921,3119,0.07,0.06,1.4
19,Zubimendi,0.895,2991,0.09,0.07,0.79
198,Henderson,0.974,3330,0.0,0.0,1.39
367,Gakpo,0.842,2736,0.27,0.15,1.15
231,Keane,0.763,2588,0.08,0.02,1.55
398,Foden,0.605,2078,0.26,0.21,1.19
109,Verbruggen,1.0,3420,0.0,0.0,1.29
84,Collins,0.842,2971,0.07,0.05,1.44
469,N.Williams,0.947,3203,0.06,0.11,1.44
25,Gyökeres,0.684,2217,0.5,0.08,0.72
237,Ndiaye,0.842,2781,0.22,0.14,1.38
202,Richards,0.816,2825,0.08,0.05,1.31
136,Welbeck,0.684,2249,0.49,0.06,1.27
337,Aaronson,0.789,2449,0.17,0.13,1.36
445,Thiaw,0.868,2963,0.15,0.03,1.49
380,Ekitiké,0.553,1797,0.51,0.12,1.31
535,Alderete,0.842,2797,0.05,0.03,1.43
366,Wirtz,0.711,2374,0.26,0.19,1.29
94,Schade,0.842,2744,0.4,0.07,1.31
156,Neto,0.789,2629,0.16,0.23,1.29
57,Petrović,1.0,3420,0.0,0.0,1.49
544,Xhaka,0.842,2901,0.03,0.12,1.42
253,Andersen,0.868,2882,0.04,0.06,1.4
250,Leno,1.0,3420,0.0,0.0,1.39
28,Martinez,0.842,2835,0.0,0.0,1.36
400,Doku,0.5,1773,0.15,0.3,1.18
471,Milenković,0.974,3375,0.02,0.02,1.47
527,Richarlison,0.526,1954,0.4,0.07,1.18
113,F.Kadıoğlu,0.895,3130,0.06,0.1,1.28
122,Minteh,0.684,2389,0.14,0.19,1.28
499,Pedro Porro,0.842,2793,0.03,0.14,1.22
32,Cash,0.895,3016,0.03,0.09,1.36
208,Sarr,0.632,2173,0.45,0.05,1.29
532,Ballard,0.632,2144,0.1,0.03,1.39
232,O'Brien,0.921,3118,0.05,0.03,1.54
503,Van de Ven,0.921,3041,0.08,0.01,1.27
79,Evanilson,0.842,2741,0.35,0.05,1.28
142,James,0.526,1957,0.05,0.15,1.32
86,Lewis-Potter,0.579,1960,0.14,0.12,1.55
154,Palmer,0.632,1954,0.49,0.11,1.43
223,Mateta,0.658,2210,0.59,0.05,1.29
491,Igor Jesus,0.737,2293,0.25,0.05,1.52
88,Kayode,0.974,3258,0.04,0.08,1.45
96,Damsgaard,0.632,2046,0.11,0.24,1.39
85,Van den Berg,0.789,2761,0.11,0.05,1.36
423,Shaw,1.0,3220,0.02,0.06,1.25
14,Eze,0.579,1885,0.25,0.13,0.68
390,Rúben,0.632,2139,0.02,0.03,1.1
140,Sánchez,0.921,3040,0.0,0.0,1.44
78,Kroupi.Jr,0.553,1663,0.45,0.08,1.4
210,Wharton,0.763,2552,0.05,0.26,1.38
417,Dalot,0.763,2609,0.07,0.09,1.26
439,Šeško,0.447,1630,0.51,0.02,1.49
60,Hill,0.579,2102,0.04,0.05,1.43
534,Hume,0.895,3032,0.07,0.06,1.4
159,Caicedo,0.842,2796,0.05,0.08,1.37
