player_id,web_name,start_rate
411,Haaland,0.895
426,B.Fernandes,0.921
4,Gabriel,0.789
397,Semenyo,0.974
480,Gibbs-White,0.921
13,Rice,0.921
106,Thiago,0.974
481,Anderson,0.974
388,Guéhi,0.921
165,João Pedro,0.816
356,Virgil,1.0
498,Senesi,0.974
229,Tarkowski,0.974
40,Rogers,0.974
260,Wilson,0.842
55,Watkins,0.868
61,Truffert,1.0
1,Raya,0.974
368,Szoboszlai,0.947
387,O'Reilly,0.763
239,Garner,1.0
155,Enzo,0.921
12,Saka,0.658
452,Bruno G.,0.711
200,Lacroix,0.921
389,Matheus N.,0.842
533,Mukiele,0.842
236,Dewsbury-Hall,0.789
5,J.Timber,0.737
112,Van Hecke,0.947
427,Mbeumo,0.816
542,E.Le Fée,0.868
371,Gravenberch,0.895
428,Cunha,0.763
82,Kelleher,0.974
346,Calvert-Lewin,0.789
6,Saliba,0.789
68,Tavernier,0.816
335,Stach,0.737
143,Chalobah,0.816
69,Scott,0.895
95,O.Dango,0.658
529,Roefs,0.921
201,Muñoz,0.763
384,Donnarumma,0.895
525,Fernandes,0.921
399,Cherki,0.5
204,Mitchell,0.947
226,Pickford,1.0
338,Ampadu,0.921
19,Zubimendi,0.895
198,Henderson,0.974
367,Gakpo,0.842
231,Keane,0.763
398,Foden,0.605
109,Verbruggen,1.0
84,Collins,0.842
469,N.Williams,0.947
25,Gyökeres,0.684
237,Ndiaye,0.842
202,Richards,0.816
136,Welbeck,0.684
337,Aaronson,0.789
445,Thiaw,0.868
380,Ekitiké,0.553
535,Alderete,0.842
366,Wirtz,0.711
94,Schade,0.842
156,Neto,0.789
57,Petrović,1.0
544,Xhaka,0.842
253,Andersen,0.868
250,Leno,1.0
28,Martinez,0.842
400,Doku,0.5
471,Milenković,0.974
527,Richarlison,0.526
113,F.Kadıoğlu,0.895
122,Minteh,0.684
499,Pedro Porro,0.842
32,Cash,0.895
208,Sarr,0.632
532,Ballard,0.632
232,O'Brien,0.921
503,Van de Ven,0.921
79,Evanilson,0.842
142,James,0.526
86,Lewis-Potter,0.579
154,Palmer,0.632
223,Mateta,0.658
491,Igor Jesus,0.737
88,Kayode,0.974
96,Damsgaard,0.632
85,Van den Berg,0.789
423,Shaw,1.0
14,Eze,0.579
390,Rúben,0.632
140,Sánchez,0.921
