id,web_name,full_name,team_name,position,now_cost,status,photo_url,total_points,points_per_game,form,selected_by_percent,minutes,starts,chance_of_playing_next_round,ep_next,set_piece_duties,expected_goals_per_90,expected_assists_per_90,expected_goals_conceded_per_90,defensive_contribution_per_90,transfers_in_event,transfers_out_event,next_gameweek,next_opponent,next_is_home,next_fixture_difficulty
165,João Pedro,João Pedro Junqueira de Jesus,Chelsea,FWD,7.7,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p475168.png,33,8.2,8.2,73.8,360,4,,8.2,,0.54,0.05,1.57,2.25,22370,1554,4,Hull City,True,2
94,Schade,Kevin Schade,Brentford,MID,6.0,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p513418.png,30,7.5,7.5,3.9,357,4,,7.5,,0.24,0.08,1.49,6.81,21546,1381,4,Bournemouth,False,3
68,Tavernier,Marcus Tavernier,Bournemouth,MID,6.0,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p201658.png,29,7.2,7.2,3.9,350,4,,7.2,"Tiros libres, Córners",0.43,0.21,1.32,9.26,11644,1548,4,Brentford,True,3
367,Gakpo,Cody Gakpo,Liverpool,MID,7.2,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p243298.png,29,7.2,7.2,12.2,280,3,100.0,7.2,,0.13,0.39,1.51,8.68,6679,15170,4,Fulham,True,2
572,Tzolakis,Konstantinos Tzolakis,Hull City,GKP,4.6,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p473284.png,28,7.0,7.0,10.2,360,4,,7.0,,0.0,0.0,1.48,0.0,12007,1501,4,Chelsea,False,4
69,Scott,Alex Scott,Bournemouth,MID,6.1,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p503139.png,28,7.0,7.0,5.8,356,4,,7.0,,0.13,0.09,1.31,12.89,5557,4462,4,Brentford,True,3
40,Rogers,Morgan Rogers,Chelsea,MID,7.6,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p244850.png,27,6.8,6.8,34.8,347,4,,6.8,,0.36,0.3,1.61,5.97,61192,1271,4,Hull City,True,2
286,Belloumi,Mohamed Belloumi,Hull City,MID,5.0,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p540324.png,27,6.8,6.8,1.4,312,4,,6.8,,0.13,0.03,1.48,9.52,34163,460,4,Chelsea,False,4
426,B.Fernandes,Bruno Borges Fernandes,Man Utd,MID,12.0,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p141746.png,27,9.0,6.8,42.9,270,3,,6.8,"Penales, Tiros libres, Córners",0.75,0.27,1.36,5.33,4967,7357,4,Man City,True,4
279,Ajayi,Semi Ajayi,Hull City,DEF,4.2,a,https://resources.premierleague.com/premierleague/photos/players/40x40/p146426.png,26,6.5,6.5,12.7,333,4,100.0,6.5,,0.18,0.0,1.34,6.22,16995,2545,4,Chelsea,False,4
