squad_type,role,bench_order,is_captain,is_vice_captain,web_name,team_name,position,now_cost,xp_next,photo_url,next_opponent,next_is_home,next_fixture_difficulty,xp_horizon,fixtures_horizon,start_rate,xp_ceiling,haul_probability,set_piece_duties
Base,Titular,0,True,False,Thiago,Brentford,FWD,8.0,6.02,https://resources.premierleague.com/premierleague/photos/players/40x40/p502500.png,Sunderland,True,2,16.54,SUN(H) · BOU(A) · CHE(H) · AVL(A),0.98,10.0,0.194,Penales
Base,Titular,0,False,True,B.Fernandes,Man Utd,MID,12.0,5.32,https://resources.premierleague.com/premierleague/photos/players/40x40/p141746.png,Everton,False,3,19.52,EVE(A) · MCI(H) · FUL(A) · TOT(H),0.94,11.0,0.154,"Penales, Tiros libres, Córners"
Base,Titular,0,False,False,Mbeumo,Man Utd,MID,7.9,4.78,https://resources.premierleague.com/premierleague/photos/players/40x40/p446008.png,Everton,False,3,17.53,EVE(A) · MCI(H) · FUL(A) · TOT(H),0.87,11.0,0.131,
Base,Titular,0,False,False,Enzo,Man City,MID,6.9,4.21,https://resources.premierleague.com/premierleague/photos/players/40x40/p448047.png,Coventry City,True,2,12.62,COV(H) · MUN(A) · SUN(H) · LIV(A),0.7,8.0,0.092,
Base,Titular,0,False,False,Gibbs-White,Nott'm Forest,MID,7.9,3.96,https://resources.premierleague.com/premierleague/photos/players/40x40/p222531.png,Spurs,True,3,15.83,TOT(H) · AVL(A) · COV(H) · CRY(A),0.95,8.0,0.058,"Penales, Tiros libres"
Base,Titular,0,False,False,N.Williams,Nott'm Forest,DEF,5.0,3.87,https://resources.premierleague.com/premierleague/photos/players/40x40/p215136.png,Spurs,True,3,15.47,TOT(H) · AVL(A) · COV(H) · CRY(A),0.97,6.0,0.019,
Base,Titular,0,False,False,Shaw,Man Utd,DEF,4.5,3.76,https://resources.premierleague.com/premierleague/photos/players/40x40/p106760.png,Everton,False,3,13.8,EVE(A) · MCI(H) · FUL(A) · TOT(H),1.0,6.0,0.007,
Base,Titular,0,False,False,Calvert-Lewin,Leeds,FWD,6.0,3.73,https://resources.premierleague.com/premierleague/photos/players/40x40/p177815.png,Brighton,False,3,13.67,BHA(A) · NEW(H) · CRY(H) · ARS(A),0.87,9.0,0.091,Penales
Base,Titular,0,False,False,Thiaw,Newcastle,DEF,5.0,3.58,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png,Bournemouth,True,3,16.7,BOU(H) · LEE(A) · HUL(H) · COV(A),0.92,8.0,0.027,
Base,Titular,0,False,False,E.Le Fée,Sunderland,MID,5.9,3.55,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png,Brentford,False,3,11.82,BRE(A) · ARS(H) · MCI(A) · BHA(H),0.92,7.0,0.044,Córners
Base,Titular,0,False,False,Roefs,Sunderland,GKP,5.0,2.83,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png,Brentford,False,3,9.43,BRE(A) · ARS(H) · MCI(A) · BHA(H),0.95,6.0,0.0,
Base,Banco,1,False,False,Raya,Arsenal,GKP,6.0,2.66,https://resources.premierleague.com/premierleague/photos/players/40x40/p154561.png,Chelsea,True,4,15.97,CHE(H) · SUN(A) · BHA(A) · LEE(H),0.98,6.0,0.0,
Base,Banco,2,False,False,Hume,Sunderland,DEF,4.5,3.05,https://resources.premierleague.com/premierleague/photos/players/40x40/Photo-Missing.png,Brentford,False,3,10.16,BRE(A) · ARS(H) · MCI(A) · BHA(H),0.81,6.0,0.016,
