position,GW6,GW7,GW8,GW9
MID,B.Fernandes,B.Fernandes,B.Fernandes,B.Fernandes
MID,Gibbs-White,Gibbs-White,Gibbs-White,Gibbs-White
FWD,Thiago,Thiago,Thiago,Thiago
FWD,Evanilson,Evanilson,Evanilson,Evanilson
GKP,Raya,Raya,Raya,Raya
MID,Tavernier,Tavernier,Tavernier,Tavernier
MID,Mbeumo,Mbeumo,Mbeumo,Mbeumo
MID,E.Le Fée,E.Le Fée,E.Le Fée,E.Le Fée
GKP,Roefs,Roefs,Roefs,Roefs
DEF,N.Williams,N.Williams,N.Williams,N.Williams
DEF,Hume,Hume,Hume,Hume
DEF,Calafiori,Calafiori,Calafiori,Calafiori
FWD,Calvert-Lewin,Calvert-Lewin,Calvert-Lewin,Calvert-Lewin
DEF,Thiaw,Thiaw,Thiaw,Thiaw
DEF,F.Kadıoğlu,F.Kadıoğlu,F.Kadıoğlu,F.Kadıoğlu
