gameweek,player_id,web_name,position,team_name,xp_predicted,now_cost_at_prediction,selected_by_percent_at_prediction,actual_points,points_per_game_at_prediction,ep_next_at_prediction,start_rate_at_prediction,xp_fresh_at_prediction,xp_horizon_at_prediction,xp_model_at_prediction,ep_x_start_rate_at_prediction,ep_x_availability_at_prediction
1,411,Haaland,FWD,Man City,4.71,15.5,70.3,2.0,,,,,,,,
1,426,B.Fernandes,MID,Man Utd,5.95,12.0,49.1,2.0,,,,,,,,
1,4,Gabriel,DEF,Arsenal,4.95,8.0,28.8,5.0,,,,,,,,
1,397,Semenyo,MID,Man City,3.87,8.5,26.4,2.0,,,,,,,,
1,480,Gibbs-White,MID,Nott'm Forest,4.84,8.0,11.9,2.0,,,,,,,,
1,13,Rice,MID,Arsenal,4.3,7.5,19.8,3.0,,,,,,,,
1,106,Thiago,FWD,Brentford,4.16,8.0,17.7,0.0,,,,,,,,
1,481,Anderson,MID,Man City,2.87,6.5,9.4,2.0,,,,,,,,
1,388,Guéhi,DEF,Man City,3.65,6.0,20.0,10.0,,,,,,,,
1,165,João Pedro,FWD,Chelsea,3.4,7.5,60.3,11.0,,,,,,,,
1,356,Virgil,DEF,Liverpool,3.75,6.5,18.0,2.0,,,,,,,,
1,498,Senesi,DEF,Spurs,3.34,6.0,9.5,3.0,,,,,,,,
1,229,Tarkowski,DEF,Everton,3.35,6.0,9.5,6.0,,,,,,,,
1,40,Rogers,MID,Chelsea,3.37,7.5,26.5,8.0,,,,,,,,
1,260,Wilson,MID,Leeds,3.11,6.5,7.2,3.0,,,,,,,,
1,55,Watkins,FWD,Aston Villa,3.49,8.0,12.3,0.0,,,,,,,,
1,61,Truffert,DEF,Bournemouth,1.11,5.5,4.9,1.0,,,,,,,,
1,1,Raya,GKP,Arsenal,4.94,6.0,34.4,6.0,,,,,,,,
1,368,Szoboszlai,MID,Liverpool,3.24,7.0,41.3,8.0,,,,,,,,
1,387,O'Reilly,DEF,Man City,3.62,6.5,21.5,2.0,,,,,,,,
1,155,Enzo,MID,Chelsea,4.1,7.0,5.2,1.0,,,,,,,,
1,12,Saka,MID,Arsenal,4.42,9.5,9.6,9.0,,,,,,,,
1,452,Bruno G.,MID,Arsenal,3.67,7.0,8.9,0.0,,,,,,,,
1,200,Lacroix,DEF,Chelsea,3.24,6.0,10.5,6.0,,,,,,,,
1,236,Dewsbury-Hall,MID,Everton,2.78,6.5,3.5,11.0,,,,,,,,
1,112,Van Hecke,DEF,Spurs,3.47,5.0,8.9,1.0,,,,,,,,
1,427,Mbeumo,MID,Man Utd,5.23,8.0,31.3,2.0,,,,,,,,
1,542,E.Le Fée,MID,Sunderland,4.08,6.0,11.8,2.0,,,,,,,,
1,371,Gravenberch,MID,Liverpool,2.48,6.0,1.9,5.0,,,,,,,,
1,428,Cunha,MID,Man Utd,3.95,8.0,11.2,2.0,,,,,,,,
